,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius
year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 AUS,21.608333333333334,21.475000000000005,21.375,21.275000000000002,21.74166666666667,21.000000000000004,21.325000000000003,21.125,21.5,21.374999999999996,21.233333333333334,21.66666666666667,21.96666666666667,20.875,21.291666666666668,20.866666666666667,21.491666666666664,21.224999999999998,21.833333333333332,22.191666666666666,21.766666666666666,21.591666666666665,21.874999999999996,21.14166666666667,21.683333333333334,21.666666666666668,21.624999999999996,22.200000000000003,21.433333333333337,21.925,22.108333333333334,21.55,21.783333333333335,21.73333333333333,21.566666666666666,21.891666666666666,21.633333333333336,22.208333333333332,21.7,21.35833333333333,21.383333333333336,22.05,22.016666666666666,21.875,22.350000000000005,21.724999999999998,21.90833333333333,21.58333333333333,22.041666666666668,21.391666666666666,21.350000000000005,21.641666666666662,22.600000000000005,22.441666666666666,22.241666666666664,22.3,22.375,22.391666666666666,22.66666666666667,22.450000000000003
 AUT,6.816666666666667,5.091666666666668,5.425,5.941666666666666,5.3,6.4750000000000005,6.441666666666666,6.050000000000001,5.666666666666667,5.55,6.116666666666667,5.891666666666667,5.816666666666666,6.524999999999999,6.533333333333332,6.041666666666665,6.608333333333332,5.4750000000000005,6.008333333333334,5.333333333333335,6.133333333333334,6.608333333333333,6.858333333333333,5.7749999999999995,5.616666666666666,6.0249999999999995,5.875,6.775000000000001,7.041666666666667,7.016666666666667,6.1000000000000005,7.283333333333332,6.683333333333333,7.916666666666668,6.658333333333332,5.666666666666665,6.8,6.974999999999999,6.983333333333334,7.825,6.8500000000000005,7.575,7.116666666666666,6.616666666666667,6.233333333333334,7.033333333333332,7.633333333333333,7.5,7.300000000000001,6.358333333333334,7.724999999999999,7.5,7.166666666666667,8.199999999999998,8.1,7.591666666666668,7.533333333333332,8.333333333333334,8.183333333333332,8.091666666666667
 AZE,12.799999999999999,13.125,12.450000000000001,11.333333333333334,11.816666666666665,13.916666666666666,11.733333333333334,12.333333333333334,11.083333333333334,12.850000000000001,12.4,11.0,11.433333333333332,11.508333333333333,12.358333333333334,11.575000000000001,11.841666666666667,12.18333333333333,13.091666666666667,12.391666666666667,13.0,11.325000000000001,12.149999999999999,11.916666666666666,12.025,12.366666666666667,12.174999999999997,12.200000000000001,12.983333333333333,12.433333333333332,12.233333333333334,10.983333333333333,11.083333333333334,11.958333333333334,12.908333333333333,12.683333333333335,12.358333333333334,13.35,13.35,13.049999999999999,13.58333333333333,12.791666666666664,12.516666666666666,13.075000000000001,13.024999999999999,13.049999999999999,12.75,12.758333333333333,12.91666666666667,14.41666666666667,12.316666666666665,13.358333333333333,13.133333333333333,13.383333333333331,13.508333333333333,12.916666666666666,13.158333333333331,14.158333333333333,13.716666666666667,13.35
 BDI,20.175000000000004,19.941666666666666,19.90833333333333,19.94166666666667,19.975,20.233333333333334,20.03333333333333,19.725,20.383333333333336,20.083333333333332,19.833333333333336,20.116666666666667,20.241666666666667,19.958333333333332,19.958333333333336,20.2,20.3,20.25,20.108333333333338,20.241666666666667,20.224999999999998,20.291666666666668,20.549999999999997,20.175,20.108333333333334,20.15833333333333,20.691666666666666,20.466666666666665,20.058333333333334,20.408333333333335,20.4,20.383333333333336,20.308333333333334,20.466666666666665,20.749999999999996,20.474999999999998,20.73333333333333,20.666666666666668,20.633333333333333,20.741666666666664,20.74166666666667,21.00833333333333,21.124999999999996,20.666666666666668,20.874999999999996,20.641666666666666,20.650000000000002,20.466666666666665,20.925000000000004,21.041666666666668,20.51666666666667,20.525000000000002,20.725,20.51666666666667,20.600000000000005,20.841666666666665,21.058333333333334,20.566666666666666,20.808333333333334,20.59166666666667
 BEL,10.158333333333333,8.341666666666667,8.066666666666668,9.383333333333333,8.783333333333333,9.633333333333331,9.850000000000001,9.175,9.366666666666665,9.291666666666666,9.666666666666666,9.15,9.575000000000001,9.883333333333335,9.866666666666665,10.166666666666666,9.791666666666666,9.025,8.891666666666667,9.1,9.433333333333334,10.149999999999999,10.108333333333333,9.458333333333334,8.625,9.025,8.866666666666665,10.291666666666666,10.766666666666666,10.85,9.650000000000002,10.450000000000001,9.833333333333334,10.933333333333335,10.625,8.85,10.45,10.35,10.958333333333336,11.008333333333331,10.483333333333333,10.924999999999999,10.783333333333333,10.416666666666666,10.691666666666668,10.983333333333334,11.108333333333333,10.6,10.666666666666666,9.341666666666667,11.191666666666668,10.441666666666666,9.916666666666666,11.725,11.066666666666668,10.766666666666667,11.091666666666669,11.616666666666665,11.408333333333333,11.924999999999999
 BEN,27.066666666666663,27.141666666666666,27.441666666666674,27.183333333333334,27.250000000000004,27.474999999999998,27.183333333333334,27.391666666666666,27.758333333333336,27.616666666666664,26.791666666666668,27.108333333333334,27.54166666666666,26.799999999999997,26.63333333333333,26.683333333333334,27.233333333333334,26.991666666666664,27.274999999999995,27.341666666666665,27.883333333333336,27.750000000000004,28.133333333333336,27.974999999999998,27.908333333333335,27.74166666666666,27.99166666666667,27.433333333333334,27.08333333333333,27.649999999999995,27.391666666666666,27.25,27.441666666666666,27.299999999999997,27.558333333333334,27.64166666666667,27.59166666666667,28.083333333333332,27.599999999999998,27.741666666666664,27.90833333333333,27.974999999999998,28.058333333333326,27.916666666666668,28.249999999999996,28.099999999999998,28.074999999999992,27.750000000000004,28.224999999999998,28.366666666666664,28.099999999999998,27.925,28.058333333333337,28.224999999999998,28.174999999999997,28.433333333333334,28.241666666666664,28.24166666666667,28.058333333333326,28.350000000000005
 BFA,27.599999999999998,27.78333333333333,28.174999999999997,27.84166666666667,27.724999999999998,28.075,27.783333333333335,28.049999999999997,28.649999999999995,28.424999999999997,28.0,28.150000000000006,28.558333333333334,27.71666666666667,27.60833333333333,27.54166666666666,28.05,28.091666666666665,28.15833333333333,28.541666666666668,28.341666666666672,28.083333333333332,28.625,28.616666666666664,28.499999999999996,28.275000000000002,29.058333333333334,28.299999999999997,28.066666666666666,28.599999999999998,28.349999999999994,27.974999999999998,28.50833333333333,27.983333333333338,28.325000000000003,28.583333333333332,28.566666666666666,28.933333333333337,28.383333333333336,28.50833333333333,28.64166666666667,28.916666666666668,28.79166666666667,28.849999999999998,29.10833333333333,28.741666666666664,28.83333333333334,28.358333333333334,29.024999999999995,29.041666666666668,28.95,28.608333333333334,28.76666666666667,28.866666666666664,28.88333333333333,29.125,28.974999999999998,29.00833333333333,28.750000000000004,29.075000000000003
 BGD,25.183333333333334,25.158333333333335,25.28333333333333,25.441666666666666,25.15833333333333,25.491666666666664,25.0,25.049999999999997,25.36666666666667,25.266666666666666,24.675,25.191666666666666,25.274999999999995,24.974999999999998,25.158333333333335,25.275000000000002,24.983333333333334,25.066666666666663,25.816666666666674,25.416666666666668,25.041666666666668,25.21666666666667,25.200000000000003,25.25,25.525000000000002,25.408333333333328,25.733333333333334,25.791666666666668,25.441666666666674,25.40833333333333,25.083333333333332,24.924999999999997,24.924999999999997,25.29166666666666,25.583333333333332,25.5,25.04166666666667,25.791666666666668,25.95,25.116666666666664,25.849999999999998,25.599999999999998,25.583333333333332,25.63333333333333,25.858333333333334,26.174999999999997,25.891666666666666,25.674999999999997,26.433333333333334,26.308333333333334,25.691666666666666,25.2,25.125,25.399999999999995,25.258333333333336,25.724999999999998,25.500000000000004,25.108333333333334,25.441666666666663,25.233333333333334
 BGR,10.850000000000001,10.700000000000001,10.425,10.016666666666667,9.966666666666667,11.491666666666665,10.375,10.658333333333333,10.125,10.700000000000001,10.366666666666667,10.458333333333334,10.116666666666667,10.325000000000001,10.616666666666667,9.600000000000001,10.791666666666666,10.033333333333333,10.816666666666668,9.75,10.508333333333333,10.341666666666667,10.491666666666665,10.266666666666666,9.908333333333333,10.458333333333334,9.941666666666665,10.458333333333334,10.616666666666667,11.116666666666669,10.008333333333335,10.441666666666668,10.175,11.58333333333333,10.6,10.2,9.991666666666665,10.774999999999999,11.483333333333333,11.516666666666666,11.391666666666666,11.499999999999998,10.6,11.024999999999999,10.633333333333333,10.783333333333333,11.891666666666666,11.833333333333334,11.766666666666667,11.725,10.808333333333335,11.808333333333332,11.933333333333332,11.966666666666669,11.799999999999997,11.908333333333333,11.725,12.283333333333331,12.750000000000002,12.475000000000001
 BHR,26.908333333333335,27.750000000000004,27.416666666666668,26.40833333333333,27.375000000000004,27.541666666666668,26.49166666666667,26.75833333333333,27.458333333333332,27.36666666666667,26.800000000000008,26.25833333333333,27.100000000000005,26.84166666666667,26.849999999999998,26.724999999999998,27.63333333333333,27.399999999999995,27.875,27.691666666666674,27.724999999999994,26.8,26.858333333333338,27.29166666666667,27.391666666666666,27.29166666666666,27.741666666666664,27.691666666666663,26.974999999999994,27.650000000000002,27.208333333333332,26.450000000000006,27.33333333333333,27.825000000000003,27.366666666666664,27.916666666666668,27.308333333333337,28.533333333333335,28.758333333333336,28.150000000000002,28.41666666666667,28.23333333333333,28.299999999999994,28.166666666666668,27.90833333333333,28.200000000000003,28.308333333333334,28.191666666666666,28.400000000000002,29.091666666666665,28.191666666666663,28.408333333333342,28.10833333333333,28.424999999999997,28.858333333333334,28.98333333333333,28.866666666666664,29.308333333333337,28.916666666666668,28.75
